"","album","source","target","top.x","top.y","both_top","one_top"
"1","The Waiting Room","Dimitri McDowell","India Shawn",0,0,0,0
"2","The Waiting Room","Dimitri McDowell","Taylor Hill",0,0,0,0
"3","The Waiting Room","India Shawn","Taylor Hill",0,0,0,0
"4","Birds In The Trap Sing McKnight","Travis Scott","Young Thug &amp; Travis Scott",1,0,0,1
"5","Birds In The Trap Sing McKnight","Travis Scott","Young Thug &amp; Travis Scott",1,0,0,1
"6","Stoney","2 Chainz","Justin Bieber",0,0,0,0
"7","Stoney","2 Chainz","Kehlani",0,0,0,0
"8","Stoney","Justin Bieber","Kehlani",0,0,0,0
"9","White Friday (CM9)","2 Chainz","Big Sean",0,1,0,1
"10","White Friday (CM9)","2 Chainz","Big Sean",0,1,0,1
"11","Major Key","2 Chainz","August Alsina",0,0,0,0
"12","Major Key","2 Chainz","Betty Wright",0,0,0,0
"13","Major Key","August Alsina","Betty Wright",0,0,0,0
"14","The Misadventures Of Fern & Marty","Aha Gazelle","Chris Batson",0,0,0,0
"15","Big Fish Theory","Damon Albarn","Juicy J",0,0,0,0
"16","Thinking Out Loud","2 Chainz","Gucci Mane",0,0,0,0
"17","The Return Of East Atlanta Santa","Drake","Travis Scott",1,1,1,1
"18","The Return Of East Atlanta Santa","Drake","Travis Scott",1,1,1,1
"19","Issa Album","21 Savage","CuBeatz",1,0,0,1
"20","Therapy Session","Andreas Moss","Marty",0,0,0,0
"21","I Still Am","21 Savage","Chris Brown",1,0,0,1
"22","I Still Am","21 Savage","French Montana",1,0,0,1
"23","I Still Am","Chris Brown","French Montana",0,0,0,0
"24","4eva Is A Mighty Long Time","Bilal","CeeLo Green",0,0,0,0
"25","Trap Or Die 3","Bankroll Fresh","Chris Brown",0,0,0,0
"26","Trap Or Die 3","Bankroll Fresh","French Montana",0,0,0,0
"27","Trap Or Die 3","Chris Brown","French Montana",0,0,0,0
"28","Lil Pump","2 Chainz","Chief Keef",0,0,0,0
"29","Lil Pump","2 Chainz","Gucci Mane",0,0,0,0
