"","album","source","target"
"1","The Waiting Room","Dimitri McDowell","India Shawn"
"2","The Waiting Room","Dimitri McDowell","Taylor Hill"
"3","The Waiting Room","India Shawn","Taylor Hill"
"4","Blank Face LP","Anderson .Paak","Candice Pillay"
"5","Blank Face LP","Anderson .Paak","Tha Dogg Pound"
"6","Blank Face LP","Candice Pillay","Tha Dogg Pound"
"7","The Healing Component","BADBADNOTGOOD","JSTOCK"
"8","The Healing Component","BADBADNOTGOOD","Michael Anthony"
"9","The Healing Component","JSTOCK","Michael Anthony"
"10","Birds In The Trap Sing McKnight","Travis Scott","Young Thug &amp; Travis Scott"
"11","Stoney","2 Chainz","Justin Bieber"
"12","Stoney","2 Chainz","Kehlani"
"13","Stoney","Justin Bieber","Kehlani"
"14","Konnichiwa","A$AP Bari","A$AP Nast"
"15","Konnichiwa","A$AP Bari","Boy Better Know"
"16","Konnichiwa","A$AP Nast","Boy Better Know"
"17","The MOBB (EP)","BOBBY","MINO"
"18","The MOBB (EP)","BOBBY","Mobb"
"19","The MOBB (EP)","MINO","Mobb"
"20","Splendor & Misery","Alvin Chea","Claude McKnight"
"21","Splendor & Misery","Alvin Chea","David Thomas"
"22","Splendor & Misery","Claude McKnight","David Thomas"
"23","Major Key","2 Chainz","August Alsina"
"24","Major Key","2 Chainz","Betty Wright"
"25","Major Key","August Alsina","Betty Wright"
"26","AIM","Dexta Daps","GENER8ION"
"27","AIM","Dexta Daps","ZAYN"
"28","AIM","GENER8ION","ZAYN"
"29","GO:OD AM","Ab-Soul","Chief Keef"
"30","GO:OD AM","Ab-Soul","Lil B"
"31","GO:OD AM","Chief Keef","Lil B"
"32","More Than Ever","ICETEP","Lazerbeak"
"33","More Than Ever","ICETEP","Paper Tiger"
"34","More Than Ever","Lazerbeak","Paper Tiger"
"35","Rich Crack Baby","21 Savage","2 Chainz"
"36","Rich Crack Baby","21 Savage","Boosie Badazz"
"37","Rich Crack Baby","2 Chainz","Boosie Badazz"
"38","Happy Camper","\u200bblackbear","KYLE"
"39","Happy Camper","\u200bblackbear","Meghan Tonjes"
"40","Happy Camper","KYLE","Meghan Tonjes"
"41","Alone Together","DJ Chose","Jaymes Young"
"42","Alone Together","DJ Chose","JoJo"
"43","Alone Together","Jaymes Young","JoJo"
"44","Reflection","BJ the Chicago Kid","Camille Faulkner"
"45","Reflection","BJ the Chicago Kid","Chrisette Michele"
"46","Reflection","Camille Faulkner","Chrisette Michele"
"47","Professional Rapper","Brain (Lil Dicky)","Brendon Urie"
"48","Professional Rapper","Brain (Lil Dicky)","Fetty Wap"
"49","Professional Rapper","Brendon Urie","Fetty Wap"
"50","Mandatory Check","Bruce Banna","E Mozzy"
"51","Mandatory Check","Bruce Banna","IamSu!"
"52","Mandatory Check","E Mozzy","IamSu!"
"53","Blacc Hollywood","Chevy Woods","Curren$y"
"54","Blacc Hollywood","Chevy Woods","Ghost Loft"
"55","Blacc Hollywood","Curren$y","Ghost Loft"
"56","The Letter O","Adrian Marcel","Brookfield Deuce"
"57","The Letter O","Adrian Marcel","Danny from Sobrante"
"58","The Letter O","Brookfield Deuce","Danny from Sobrante"
"59","Black America Again","Bilal","BJ the Chicago Kid"
"60","Black America Again","Bilal","Elena Pinderhughes"
"61","Black America Again","BJ the Chicago Kid","Elena Pinderhughes"
"62","The Roar","Bizzle","Stefan Otto"
"63","The Incredible True Story","Anna Elyse Palchikoff","Big Lenbo"
"64","The Incredible True Story","Anna Elyse Palchikoff","Dria"
"65","The Incredible True Story","Big Lenbo","Dria"
"66","Go","Ces Cru","JL of B. Hood"
"67","Go","Ces Cru","Rittz"
"68","Go","JL of B. Hood","Rittz"
